# Generated by testdata/harfbuzz/scripttags.py. DO NOT EDIT.
#
# The OpenType script tags HarfBuzz's hb_ot_tags_from_script_and_language
# gives a run of each script below in each BCP 47 tag, at most 3, in
# order: the tag, then a tab and the tags separated by '|' for each script.
# A tag that is not printable is written as 0x and eight hex digits.
# harfbuzz 14.5.0
# uharfbuzz 0.56.2
# scripts Latn Deva
# cases 1860
	latn	dev3|dev2|deva
EN_x-hbsc-hbscabc	latn	dev3|dev2|deva
EN_x-hbsc-zzzzzzzz	latn	dev3|dev2|deva
EN_x-hbsc1234	1234	1234
EN_x-hbscDEV2	dev2	dev2
EN_x-hbscDFLT	DFLT	DFLT
EN_x-hbsc_dev2	latn	dev3|dev2|deva
EN_x-hbsca	a   	a   
EN_x-hbscab	ab  	ab  
EN_x-hbscarabic	arab	arab
EN_x-hbscdev2	dev2	dev2
EN_x-hbscdev2-hbotmar	dev2	dev2
EN_x-hbscdev21	dev2	dev2
EN_x-hbscdflt	DFLT	DFLT
EN_x-hbscknd3	knd3	knd3
EN_x-hbsclatn	latn	latn
EN_x-hbscmym2	mym2	mym2
EN_x-y	latn	dev3|dev2|deva
a	latn	dev3|dev2|deva
a-64657632	latn	dev3|dev2|deva
a-64657632-en-hbsc-a-hbsclatn	latn	dev3|dev2|deva
a-64657632-hbscdev2-en	latn	dev3|dev2|deva
a-64657632-hi-en	latn	dev3|dev2|deva
a-a-64657632-und-hbotmar-latn	latn	dev3|dev2|deva
a-a-hbsc-u-hbscDFLT-u	latn	dev3|dev2|deva
a-a-hbscdev2-hbot-a	latn	dev3|dev2|deva
a-a-hbscdev2-zh-x-u	latn	dev3|dev2|deva
a-a-hi-hbscdev2	latn	dev3|dev2|deva
a-a-u-hbsc	latn	dev3|dev2|deva
a-a-x-hant	latn	dev3|dev2|deva
a-en	latn	dev3|dev2|deva
a-en-64657632-hant-hbsc	latn	dev3|dev2|deva
a-en-hbscab	latn	dev3|dev2|deva
a-en-hbscdev2-hbscab	latn	dev3|dev2|deva
a-en-zh	latn	dev3|dev2|deva
a-hant	latn	dev3|dev2|deva
a-hant-hbsc-hbsclatn-und	latn	dev3|dev2|deva
a-hant-hbsc-latn-hbsclatn	latn	dev3|dev2|deva
a-hant-hbscDFLT	latn	dev3|dev2|deva
a-hant-hbscdev2-u-x	latn	dev3|dev2|deva
a-hant-latn-hbsc	latn	dev3|dev2|deva
a-hbot-a-hbsclatn	latn	dev3|dev2|deva
a-hbot-hbscab	latn	dev3|dev2|deva
a-hbot-hbscab-hbsc-hbscdev2-hbscdev2	latn	dev3|dev2|deva
a-hbot-hbscdev2-hbscab-x-64657632	latn	dev3|dev2|deva
a-hbot-hi-u-hbotmar	latn	dev3|dev2|deva
a-hbot-und-en-u	latn	dev3|dev2|deva
a-hbotmar	latn	dev3|dev2|deva
a-hbotmar-a-hbsc	latn	dev3|dev2|deva
a-hbotmar-hi	latn	dev3|dev2|deva
a-hbotmar-hi-x	latn	dev3|dev2|deva
a-hbotmar-latn-latn-hbscab	latn	dev3|dev2|deva
a-hbotmar-und-hbotmar-hbsclatn-und	latn	dev3|dev2|deva
a-hbsc-hbotmar-hbotmar-hi-64657632	latn	dev3|dev2|deva
a-hbsc-hbscab-und-hbsc-und	latn	dev3|dev2|deva
a-hbsc-hbsclatn-hi-hbscdev2	latn	dev3|dev2|deva
a-hbscDFLT	latn	dev3|dev2|deva
a-hbscDFLT-hbotmar	latn	dev3|dev2|deva
a-hbscDFLT-hbscdev2-x-hbsclatn-a	latn	latn
a-hbscDFLT-zh-hbsclatn-zh-hbscab	latn	dev3|dev2|deva
a-hbscab-hbot-64657632-hbsclatn	latn	dev3|dev2|deva
a-hbscdev2	latn	dev3|dev2|deva
a-hbscdev2-64657632-latn	latn	dev3|dev2|deva
a-hbscdev2-hbot	latn	dev3|dev2|deva
a-hbscdev2-hbsc	latn	dev3|dev2|deva
a-hbscdev2-hi-64657632	latn	dev3|dev2|deva
a-hbscdev2-latn-64657632-a-hbscdev2	latn	dev3|dev2|deva
a-hbscdev2-u-u-hbsc	latn	dev3|dev2|deva
a-hbscdev2-zh-u-hbscdev2	latn	dev3|dev2|deva
a-hbsclatn	latn	dev3|dev2|deva
a-hbsclatn-64657632-hbsclatn-hbotmar-hbscDFLT	latn	dev3|dev2|deva
a-hbsclatn-en	latn	dev3|dev2|deva
a-hbsclatn-hbsc-hant-hbotmar-hbsclatn	latn	dev3|dev2|deva
a-hbsclatn-hi	latn	dev3|dev2|deva
a-hbsclatn-hi-und	latn	dev3|dev2|deva
a-hbsclatn-hi-und-u-zh	latn	dev3|dev2|deva
a-hbsclatn-u-u	latn	dev3|dev2|deva
a-hi-64657632	latn	dev3|dev2|deva
a-hi-hant-hbot-hant-hbscdev2	latn	dev3|dev2|deva
a-hi-hbscdev2-latn-hbscab	latn	dev3|dev2|deva
a-hi-u-und-x-hbot	latn	dev3|dev2|deva
a-hi-zh-u	latn	dev3|dev2|deva
a-latn-hbsclatn	latn	dev3|dev2|deva
a-latn-hbsclatn-latn	latn	dev3|dev2|deva
a-latn-und-en-hbscdev2	latn	dev3|dev2|deva
a-latn-x	latn	dev3|dev2|deva
a-u	latn	dev3|dev2|deva
a-u-64657632	latn	dev3|dev2|deva
a-u-a-hbscdev2	latn	dev3|dev2|deva
a-u-en-latn-hbsc	latn	dev3|dev2|deva
a-u-hbscDFLT-hbsc-hbotmar	latn	dev3|dev2|deva
a-u-hbsclatn-x-hbsclatn-hbscdev2	latn	latn
a-u-und-hant-a-u	latn	dev3|dev2|deva
a-u-zh	latn	dev3|dev2|deva
a-und	latn	dev3|dev2|deva
a-und-64657632	latn	dev3|dev2|deva
a-und-hbscab-hbot	latn	dev3|dev2|deva
a-und-hbscdev2-a-a-und	latn	dev3|dev2|deva
a-und-x	latn	dev3|dev2|deva
a-x	latn	dev3|dev2|deva
a-x-64657632-u	latn	dev3|dev2|deva
a-x-ahbscdev2	latn	dev3|dev2|deva
a-x-foo-hbsclatn	latn	latn
a-x-foohbscdev2	latn	dev3|dev2|deva
a-x-hbot	latn	dev3|dev2|deva
a-x-hbot-hbscDFLT	DFLT	DFLT
a-x-hbot-hbscabc	abc 	abc 
a-x-hbotmar-hbscdev2	dev2	dev2
a-x-hbsc	latn	dev3|dev2|deva
a-x-hbsc-	latn	dev3|dev2|deva
a-x-hbsc-00000000	0x00000000	0x00000000
a-x-hbsc-44464c54	dflt	dflt
a-x-hbsc-6465763	latn	dev3|dev2|deva
a-x-hbsc-64657632	dev2	dev2
a-x-hbsc-64657632-hbscdev2	dev2	dev2
a-x-hbsc-646576320	dev2	dev2
a-x-hbsc-7c7c7c7c	0x7c7c7c7c	0x7c7c7c7c
a-x-hbsc-hbscabc	latn	dev3|dev2|deva
a-x-hbsc-zzzzzzzz	latn	dev3|dev2|deva
a-x-hbsc1234	1234	1234
a-x-hbscDEV2	dev2	dev2
a-x-hbscDFLT	DFLT	DFLT
a-x-hbsc_dev2	latn	dev3|dev2|deva
a-x-hbsca	a   	a   
a-x-hbscab	ab  	ab  
a-x-hbscarabic	arab	arab
a-x-hbscdev2	dev2	dev2
a-x-hbscdev2-hbotmar	dev2	dev2
a-x-hbscdev21	dev2	dev2
a-x-hbscdflt	DFLT	DFLT
a-x-hbscknd3	knd3	knd3
a-x-hbsclatn	latn	latn
a-x-hbscmym2	mym2	mym2
a-x-hi	latn	dev3|dev2|deva
a-x-und	latn	dev3|dev2|deva
a-x-x	latn	dev3|dev2|deva
a-x-x-hbscab	ab  	ab  
a-x-y	latn	dev3|dev2|deva
a-zh-hi	latn	dev3|dev2|deva
a-zh-hi-hbscDFLT	latn	dev3|dev2|deva
a-zh-hi-u-hbotmar	latn	dev3|dev2|deva
a-zh-u-a-latn	latn	dev3|dev2|deva
a-zh-u-zh-hbscab-hbot	latn	dev3|dev2|deva
a-zh-und	latn	dev3|dev2|deva
en	latn	dev3|dev2|deva
en-64657632-64657632	latn	dev3|dev2|deva
en-64657632-hant-hbscdev2-hbscDFLT	latn	dev3|dev2|deva
en-64657632-hbotmar-hbscab-en	latn	dev3|dev2|deva
en-64657632-hbscDFLT-hbscdev2-a	latn	dev3|dev2|deva
en-64657632-hbscab	latn	dev3|dev2|deva
en-64657632-hi-en-hant	latn	dev3|dev2|deva
en-64657632-latn-hbsc	latn	dev3|dev2|deva
en-64657632-u-64657632-en	latn	dev3|dev2|deva
en-64657632-u-zh	latn	dev3|dev2|deva
en-64657632-und	latn	dev3|dev2|deva
en-64657632-und-latn-hbscab-hbscdev2	latn	dev3|dev2|deva
en-64657632-x-hbsc	latn	dev3|dev2|deva
en-a	latn	dev3|dev2|deva
en-a-64657632-en	latn	dev3|dev2|deva
en-a-a-hi-hbscDFLT	latn	dev3|dev2|deva
en-a-hbot	latn	dev3|dev2|deva
en-a-hbsc-hbsc-latn-64657632	latn	dev3|dev2|deva
en-a-hbscdev2-en	latn	dev3|dev2|deva
en-a-hbsclatn-hbscdev2-hbscdev2	latn	dev3|dev2|deva
en-en-hant-hbot-hant	latn	dev3|dev2|deva
en-en-hbscDFLT	latn	dev3|dev2|deva
en-en-hbscab-zh	latn	dev3|dev2|deva
en-en-hbscdev2-a	latn	dev3|dev2|deva
en-en-hbscdev2-hbot	latn	dev3|dev2|deva
en-en-hbsclatn-hbscDFLT	latn	dev3|dev2|deva
en-en-hi-en-hbotmar-hbsclatn	latn	dev3|dev2|deva
en-en-u	latn	dev3|dev2|deva
en-hant-a-a-hi	latn	dev3|dev2|deva
en-hant-hbot-und-hi-und	latn	dev3|dev2|deva
en-hant-hbscab-hbsc-64657632-en	latn	dev3|dev2|deva
en-hant-u-hbsc-hbscDFLT-und	latn	dev3|dev2|deva
en-hant-zh-latn	latn	dev3|dev2|deva
en-hbot	latn	dev3|dev2|deva
en-hbot-hbsc-hbot-en-x	latn	dev3|dev2|deva
en-hbot-hbsclatn-64657632	latn	dev3|dev2|deva
en-hbot-hi-hi-zh-u	latn	dev3|dev2|deva
en-hbotmar	latn	dev3|dev2|deva
en-hbotmar-64657632	latn	dev3|dev2|deva
en-hbotmar-64657632-hi-u	latn	dev3|dev2|deva
en-hbotmar-hbotmar-hbotmar	latn	dev3|dev2|deva
en-hbotmar-latn-hbscdev2	latn	dev3|dev2|deva
en-hbotmar-latn-hbsclatn-latn	latn	dev3|dev2|deva
en-hbotmar-x-zh-hbsc-hbscDFLT	latn	dev3|dev2|deva
en-hbotmar-x-zh-zh	latn	dev3|dev2|deva
en-hbsc	latn	dev3|dev2|deva
en-hbsc-hbsc	latn	dev3|dev2|deva
en-hbsc-x-zh	latn	dev3|dev2|deva
en-hbscDFLT-64657632-hbot-und	latn	dev3|dev2|deva
en-hbscDFLT-hant	latn	dev3|dev2|deva
en-hbscDFLT-hbsc-hant-x-hi	latn	dev3|dev2|deva
en-hbscDFLT-hbsclatn	latn	dev3|dev2|deva
en-hbscDFLT-u-hi	latn	dev3|dev2|deva
en-hbscab	latn	dev3|dev2|deva
en-hbscab-hant-en-latn	latn	dev3|dev2|deva
en-hbscab-hbotmar-64657632-en-hbsclatn	latn	dev3|dev2|deva
en-hbscab-hbotmar-x-zh	latn	dev3|dev2|deva
en-hbscab-zh-hant	latn	dev3|dev2|deva
en-hbscdev2-hant-64657632-zh	latn	dev3|dev2|deva
en-hbscdev2-hbscdev2	latn	dev3|dev2|deva
en-hbscdev2-hi-hbscdev2-a-hbsclatn	latn	dev3|dev2|deva
en-hbscdev2-latn-hbsc	latn	dev3|dev2|deva
en-hbscdev2-zh-hbot-u-hbotmar	latn	dev3|dev2|deva
en-hbsclatn	latn	dev3|dev2|deva
en-hbsclatn-64657632-hbsc-hbot-hbsc	latn	dev3|dev2|deva
en-hbsclatn-a-hbsclatn-hbsclatn	latn	dev3|dev2|deva
en-hbsclatn-en-hbscab-hbsc-hbscdev2	latn	dev3|dev2|deva
en-hbsclatn-hant-x	latn	dev3|dev2|deva
en-hbsclatn-hbotmar-hbsc-zh	latn	dev3|dev2|deva
en-hbsclatn-hbscDFLT-en-hbsclatn	latn	dev3|dev2|deva
en-hbsclatn-hbscDFLT-hbot	latn	dev3|dev2|deva
en-hbsclatn-x-en	latn	dev3|dev2|deva
en-hbsclatn-x-hant-hbscDFLT-zh	DFLT	DFLT
en-hi	latn	dev3|dev2|deva
en-hi-64657632-latn-u-und	latn	dev3|dev2|deva
en-hi-hbsc-x	latn	dev3|dev2|deva
en-hi-hbscdev2-zh-a-a	latn	dev3|dev2|deva
en-hi-hi	latn	dev3|dev2|deva
en-hi-u	latn	dev3|dev2|deva
en-latn	latn	dev3|dev2|deva
en-latn-hant-hbscab	latn	dev3|dev2|deva
en-latn-hbotmar-hi	latn	dev3|dev2|deva
en-latn-hbsc-hbscdev2-hbscDFLT	latn	dev3|dev2|deva
en-latn-hbscDFLT	latn	dev3|dev2|deva
en-latn-x-hbotmar-latn	latn	dev3|dev2|deva
en-latn-x-hbsc-hbot	latn	dev3|dev2|deva
en-u-ca-gregory-x	latn	dev3|dev2|deva
en-u-ca-gregory-x-ahbscdev2	latn	dev3|dev2|deva
en-u-ca-gregory-x-foo-hbsclatn	latn	latn
en-u-ca-gregory-x-foohbscdev2	latn	dev3|dev2|deva
en-u-ca-gregory-x-hbot	latn	dev3|dev2|deva
en-u-ca-gregory-x-hbot-hbscabc	abc 	abc 
en-u-ca-gregory-x-hbotmar-hbscdev2	dev2	dev2
en-u-ca-gregory-x-hbsc	latn	dev3|dev2|deva
en-u-ca-gregory-x-hbsc-	latn	dev3|dev2|deva
en-u-ca-gregory-x-hbsc-00000000	0x00000000	0x00000000
en-u-ca-gregory-x-hbsc-44464c54	dflt	dflt
en-u-ca-gregory-x-hbsc-6465763	latn	dev3|dev2|deva
en-u-ca-gregory-x-hbsc-64657632	dev2	dev2
en-u-ca-gregory-x-hbsc-646576320	dev2	dev2
en-u-ca-gregory-x-hbsc-7c7c7c7c	0x7c7c7c7c	0x7c7c7c7c
en-u-ca-gregory-x-hbsc-hbscabc	latn	dev3|dev2|deva
en-u-ca-gregory-x-hbsc-zzzzzzzz	latn	dev3|dev2|deva
en-u-ca-gregory-x-hbsc1234	1234	1234
en-u-ca-gregory-x-hbscDEV2	dev2	dev2
en-u-ca-gregory-x-hbscDFLT	DFLT	DFLT
en-u-ca-gregory-x-hbsc_dev2	latn	dev3|dev2|deva
en-u-ca-gregory-x-hbsca	a   	a   
en-u-ca-gregory-x-hbscab	ab  	ab  
en-u-ca-gregory-x-hbscarabic	arab	arab
en-u-ca-gregory-x-hbscdev2	dev2	dev2
en-u-ca-gregory-x-hbscdev2-hbotmar	dev2	dev2
en-u-ca-gregory-x-hbscdev21	dev2	dev2
en-u-ca-gregory-x-hbscdflt	DFLT	DFLT
en-u-ca-gregory-x-hbscknd3	knd3	knd3
en-u-ca-gregory-x-hbsclatn	latn	latn
en-u-ca-gregory-x-hbscmym2	mym2	mym2
en-u-ca-gregory-x-y	latn	dev3|dev2|deva
en-u-hbscDFLT-hbscab	latn	dev3|dev2|deva
en-u-hbscab-und-hbscab	latn	dev3|dev2|deva
en-u-hbscab-zh-64657632	latn	dev3|dev2|deva
en-und	latn	dev3|dev2|deva
en-und-hant-en	latn	dev3|dev2|deva
en-und-hbsclatn	latn	dev3|dev2|deva
en-und-zh-en	latn	dev3|dev2|deva
en-x	latn	dev3|dev2|deva
en-x-64657632	latn	dev3|dev2|deva
en-x-ahbscdev2	latn	dev3|dev2|deva
en-x-en-hbsclatn-hbscab	latn	latn
en-x-foo-hbsclatn	latn	latn
en-x-foohbscdev2	latn	dev3|dev2|deva
en-x-hbot	latn	dev3|dev2|deva
en-x-hbot-hbscabc	abc 	abc 
en-x-hbotmar-hbscdev2	dev2	dev2
en-x-hbsc	latn	dev3|dev2|deva
en-x-hbsc-	latn	dev3|dev2|deva
en-x-hbsc-00000000	0x00000000	0x00000000
en-x-hbsc-44464c54	dflt	dflt
en-x-hbsc-6465763	latn	dev3|dev2|deva
en-x-hbsc-64657632	dev2	dev2
en-x-hbsc-646576320	dev2	dev2
en-x-hbsc-7c7c7c7c	0x7c7c7c7c	0x7c7c7c7c
en-x-hbsc-hbscabc	latn	dev3|dev2|deva
en-x-hbsc-zzzzzzzz	latn	dev3|dev2|deva
en-x-hbsc1234	1234	1234
en-x-hbscDEV2	dev2	dev2
en-x-hbscDFLT	DFLT	DFLT
en-x-hbsc_dev2	latn	dev3|dev2|deva
en-x-hbsca	a   	a   
en-x-hbscab	ab  	ab  
en-x-hbscarabic	arab	arab
en-x-hbscdev2	dev2	dev2
en-x-hbscdev2 x	dev2	dev2
en-x-hbscdev2-hbotmar	dev2	dev2
en-x-hbscdev2-hbscab-hbsc	dev2	dev2
en-x-hbscdev2-hbscdev2-hi	dev2	dev2
en-x-hbscdev21	dev2	dev2
en-x-hbscdflt	DFLT	DFLT
en-x-hbscknd3	knd3	knd3
en-x-hbsclatn	latn	latn
en-x-hbscmym2	mym2	mym2
en-x-y	latn	dev3|dev2|deva
en-zh	latn	dev3|dev2|deva
en-zh-hbotmar-64657632	latn	dev3|dev2|deva
en-zh-u-hbscab-latn-hi	latn	dev3|dev2|deva
en-zh-x-u-64657632	latn	dev3|dev2|deva
en-zh-zh-en-zh-hbsc	latn	dev3|dev2|deva
hant	latn	dev3|dev2|deva
hant-64657632	latn	dev3|dev2|deva
hant-64657632-hbscDFLT-hi	latn	dev3|dev2|deva
hant-64657632-hbscab-hant	latn	dev3|dev2|deva
hant-64657632-latn-u-hbscab	latn	dev3|dev2|deva
hant-64657632-zh-hbotmar	latn	dev3|dev2|deva
hant-a-en-hbscDFLT-hbscdev2	latn	dev3|dev2|deva
hant-a-hbscab-zh-hbscDFLT	latn	dev3|dev2|deva
hant-a-hbscdev2-hbsclatn	latn	dev3|dev2|deva
hant-a-latn-und	latn	dev3|dev2|deva
hant-en	latn	dev3|dev2|deva
hant-en-64657632-u-a-hant	latn	dev3|dev2|deva
hant-en-hbsc-64657632-hi	latn	dev3|dev2|deva
hant-hant-hbscab-hbotmar	latn	dev3|dev2|deva
hant-hant-zh-latn-hbotmar	latn	dev3|dev2|deva
hant-hbot	latn	dev3|dev2|deva
hant-hbot-64657632	latn	dev3|dev2|deva
hant-hbot-hant	latn	dev3|dev2|deva
hant-hbot-hbot-en-hant-hbsclatn	latn	dev3|dev2|deva
hant-hbot-hbsclatn-hbscab	latn	dev3|dev2|deva
hant-hbot-latn-en	latn	dev3|dev2|deva
hant-hbot-u	latn	dev3|dev2|deva
hant-hbot-und-en-hbscdev2-und	latn	dev3|dev2|deva
hant-hbot-zh-und-hbscdev2-latn	latn	dev3|dev2|deva
hant-hbotmar-en-en-hbscab	latn	dev3|dev2|deva
hant-hbotmar-hant	latn	dev3|dev2|deva
hant-hbotmar-hbot	latn	dev3|dev2|deva
hant-hbotmar-hbsclatn-u-hbscab-und	latn	dev3|dev2|deva
hant-hbotmar-und-x-hi-zh	latn	dev3|dev2|deva
hant-hbsc	latn	dev3|dev2|deva
hant-hbsc-en-hbotmar-hbscDFLT	latn	dev3|dev2|deva
hant-hbsc-hbot-zh-hbsclatn-hi	latn	dev3|dev2|deva
hant-hbsc-u-hbscdev2-hant-hbsc	latn	dev3|dev2|deva
hant-hbscDFLT	latn	dev3|dev2|deva
hant-hbscDFLT-hbscdev2	latn	dev3|dev2|deva
hant-hbscDFLT-hi	latn	dev3|dev2|deva
hant-hbscDFLT-hi-hbscab-hbotmar-hbsc	latn	dev3|dev2|deva
hant-hbscDFLT-x-hbsclatn-hbotmar	latn	latn
hant-hbscab-hbot-hbscdev2-und-hbot	latn	dev3|dev2|deva
hant-hbscab-hbscab-a	latn	dev3|dev2|deva
hant-hbscab-latn-64657632-zh	latn	dev3|dev2|deva
hant-hbscab-x-u-u	latn	dev3|dev2|deva
hant-hbscdev2	latn	dev3|dev2|deva
hant-hbscdev2-64657632	latn	dev3|dev2|deva
hant-hbscdev2-en-hbscab-en	latn	dev3|dev2|deva
hant-hbscdev2-hant-zh-hi	latn	dev3|dev2|deva
hant-hbscdev2-hbscab-hbotmar-hi	latn	dev3|dev2|deva
hant-hbscdev2-hi-hbsclatn-hbscab-hant	latn	dev3|dev2|deva
hant-hbsclatn-64657632	latn	dev3|dev2|deva
hant-hbsclatn-hbsc-hbscDFLT-a-64657632	latn	dev3|dev2|deva
hant-hbsclatn-hbscab-hant-hbscDFLT-x	latn	dev3|dev2|deva
hant-hbsclatn-u-a	latn	dev3|dev2|deva
hant-hbsclatn-und-hbscab-hbotmar	latn	dev3|dev2|deva
hant-hbsclatn-x-und-hbscDFLT	DFLT	DFLT
hant-hbsclatn-zh	latn	dev3|dev2|deva
hant-hi	latn	dev3|dev2|deva
hant-hi-en	latn	dev3|dev2|deva
hant-hi-en-hbsc-hbsc	latn	dev3|dev2|deva
hant-hi-hant-en-64657632-latn	latn	dev3|dev2|deva
hant-hi-hbscab-hbsclatn-hbot-latn	latn	dev3|dev2|deva
hant-hi-und-64657632	latn	dev3|dev2|deva
hant-hi-und-hbscDFLT	latn	dev3|dev2|deva
hant-hi-und-hbsclatn-und	latn	dev3|dev2|deva
hant-latn	latn	dev3|dev2|deva
